,Ram,Battery,Display,Price,company,Inbuilt_memory,fast_charging,Screen_resolution,Processor,Processor_name,rear,front,no_of_sim,Is_5G
697,16.0,5000,6.5,59999,Lenovo,512,120.0,1080 x 2400,Octa Core,Snapdragon,64,20,Dual Sim,Yes
698,12.0,5000,6.92,64999,Lenovo,256,120.0,1080 x 2400,Octa Core,Snapdragon,64,44,Dual Sim,Yes
699,6.0,4000,6.2,7499,Gionee,128,18.0,480 x 960,Octa Core,Helio,16,13,Dual Sim,No
700,4.0,4000,6.67,7990,Gionee,64,18.0,480 x 960,Octa Core,Tiger,13,8,Dual Sim,No
701,4.0,4000,6.5,7990,Gionee,64,18.0,1080 x 2400,Quad Core,Tiger,13,5,Dual Sim,No
702,6.0,5000,6.53,11990,Gionee,128,18.0,480 x 960,Octa Core,Helio,16,8,Dual Sim,No
703,6.0,4000,6.5,13990,Gionee,128,10.0,480 x 960,Octa Core,Tiger,13,5,Dual Sim,No
704,4.0,5000,6.7,7999,Samsung,64,25.0,480 x 960,Octa Core,Helio,50,8,Dual Sim,No
705,4.0,5000,6.72,8199,Samsung,64,25.0,1080 x 2400,Octa Core,Snapdragon,50,13,Dual Sim,No
706,6.0,5000,6.72,9499,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,50,13,Dual Sim,No
707,4.0,5000,6.5,7999,Samsung,64,15.0,480 x 960,Octa Core,Helio,13,5,Dual Sim,No
708,4.0,5000,6.6,9099,Samsung,64,15.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,No
709,4.0,5000,6.5,7599,Samsung,64,15.0,480 x 960,Octa Core,Helio,13,5,Dual Sim,No
710,4.0,5000,6.5,9490,Samsung,64,18.0,480 x 960,Octa Core,Helio,50,5,Dual Sim,No
711,2.0,5000,6.5,7899,Samsung,32,18.0,480 x 960,Quad Core,Unisoc,8,5,Dual Sim,No
712,3.0,5000,6.5,7499,Samsung,32,15.0,480 x 960,Octa Core,Helio,13,5,Dual Sim,No
713,2.0,3000,5.7,7999,Samsung,16,18.0,480 x 960,Octa Core,Snapdragon,13,5,Dual Sim,No
714,3.0,5000,6.5,8499,Samsung,64,18.0,480 x 960,Octa Core,Helio,13,5,Dual Sim,No
715,4.0,6000,6.6,8999,Samsung,64,15.0,1080 x 2400,Octa Core,Exynos,50,8,Dual Sim,No
716,3.0,5000,6.5,9499,Samsung,32,15.0,480 x 960,Octa Core,Unisoc,48,5,Dual Sim,No
717,1.5,3000,5.0,8999,Samsung,8,18.0,480 x 960,Quad Core,Helio,8,5,Dual Sim,No
718,4.0,5000,6.56,7990,Samsung,128,18.0,480 x 960,Octa Core,Octa,64,8,Dual Sim,No
719,4.0,5000,6.5,8899,Samsung,128,15.0,480 x 960,Octa Core,Helio,13,5,Dual Sim,No
720,3.0,5000,6.5,8990,Samsung,32,18.0,480 x 960,Octa Core,Helio,13,5,Dual Sim,No
721,4.0,5000,6.5,8690,Samsung,64,15.0,480 x 960,Octa Core,Snapdragon,13,5,Dual Sim,No
722,6.0,6000,6.6,11110,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
723,4.0,6000,6.45,11450,Samsung,128,25.0,1080 x 2400,Octa Core,Dimensity,50,13,Dual Sim,Yes
724,6.0,6000,6.6,11000,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
725,4.0,6000,6.6,10631,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
726,4.0,5000,6.7,10999,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,50,13,Dual Sim,No
727,6.0,5000,6.7,10390,Samsung,128,25.0,480 x 960,Octa Core,Helio,50,8,Dual Sim,No
728,4.0,5000,6.5,10499,Samsung,128,18.0,480 x 960,Octa Core,Helio,13,5,Dual Sim,No
729,4.0,5000,6.5,10299,Samsung,64,15.0,480 x 960,Octa Core,Exynos,50,5,Dual Sim,No
730,4.0,5000,6.5,10900,Samsung,128,15.0,480 x 960,Octa Core,Exynos,50,5,Dual Sim,No
731,4.0,5000,6.5,10990,Samsung,64,15.0,480 x 960,Octa Core,Dimensity,50,5,Dual Sim,Yes
732,4.0,6000,6.5,10999,Samsung,64,15.0,480 x 960,Octa Core,Exynos,48,8,Dual Sim,No
733,4.0,5000,6.5,10490,Samsung,64,15.0,480 x 960,Octa Core,Unisoc,48,5,Dual Sim,No
734,6.0,6000,6.5,12999,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
735,4.0,6000,6.45,12999,Samsung,128,25.0,1080 x 2400,Octa Core,Dimensity,50,13,Dual Sim,Yes
736,6.0,6000,6.5,13999,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
737,6.0,6000,6.45,12332,Samsung,128,25.0,1080 x 2400,Octa Core,Dimensity,50,13,Dual Sim,Yes
738,6.0,6000,6.45,13429,Samsung,128,25.0,1080 x 2400,Octa Core,Dimensity,50,13,Dual Sim,Yes
739,8.0,5000,6.6,13599,Samsung,128,15.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
740,6.0,5000,6.7,12490,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,50,13,Dual Sim,No
741,4.0,5000,6.6,14199,Samsung,128,15.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
742,4.0,5000,6.6,12990,Samsung,128,25.0,1080 x 2400,1.6 GHz Processor,Octa,50,8,Dual Sim,No
743,6.0,6000,6.5,12990,Samsung,64,18.0,1080 x 2400,Octa Core,Snapdragon,64,50,Dual Sim,No
744,8.0,6000,6.45,15999,Samsung,128,25.0,1080 x 2400,Octa Core,Dimensity,50,13,Dual Sim,Yes
745,6.0,6000,6.5,17990,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,16,Dual Sim,Yes
746,8.0,6000,6.45,15999,Samsung,128,25.0,1080 x 2400,Octa Core,Dimensity,50,13,Dual Sim,Yes
747,8.0,6000,6.5,15982,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
748,8.0,7000,6.73,16990,Samsung,128,35.0,1080 x 2400,Octa Core,Exynos,64,32,Dual Sim,Yes
749,6.0,5000,6.5,17900,Samsung,128,25.0,1080 x 2400,Octa Core,Dimensity,50,13,Dual Sim,Yes
750,6.0,5000,6.6,17499,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,50,8,Dual Sim,Yes
751,8.0,5000,6.5,16990,Samsung,128,25.0,1080 x 2400,Octa Core,Helio,50,13,Dual Sim,No
752,4.0,5000,6.67,16990,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,16,Dual Sim,Yes
753,6.0,5000,6.6,17999,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,50,8,Dual Sim,Yes
754,6.0,6000,6.67,16990,Samsung,128,25.0,1080 x 2400,Octa Core,Octa,108,32,Dual Sim,Yes
755,6.0,5000,6.6,15999,Samsung,128,15.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
756,6.0,5000,6.5,17999,Samsung,128,25.0,1080 x 2400,Octa Core,Helio,50,13,Dual Sim,No
757,4.0,5000,6.4,15999,Samsung,128,18.0,480 x 960,Octa Core,Helio,48,13,Dual Sim,No
758,6.0,6000,6.6,17999,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,8,Dual Sim,Yes
759,8.0,5000,6.7,26990,Samsung,128,45.0,1080 x 2400,Octa Core,Snapdragon,50,50,Dual Sim,Yes
760,8.0,5000,6.67,24999,Samsung,128,45.0,1080 x 2400,Octa Core,Snapdragon,50,50,Dual Sim,Yes
761,8.0,6000,6.7,22863,Samsung,256,25.0,1080 x 2400,Octa Core,Exynos,108,32,Dual Sim,Yes
762,8.0,5000,6.6,27899,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
763,8.0,5000,6.7,24990,Samsung,256,45.0,1080 x 2400,Octa Core,Snapdragon,50,50,Dual Sim,Yes
764,8.0,5000,6.67,26690,Samsung,256,45.0,1080 x 2400,Octa Core,Snapdragon,50,50,Dual Sim,Yes
765,8.0,6000,6.5,25171,Samsung,256,25.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
766,8.0,5000,6.5,21499,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
767,8.0,5000,6.6,24499,Samsung,128,25.0,1080 x 2400,Octa Core,Dimensity,48,13,Dual Sim,Yes
768,6.0,5000,6.7,21390,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,64,32,Dual Sim,Yes
769,6.0,7000,6.7,24999,Samsung,128,33.0,1080 x 2400,Octa Core,Dimensity,64,32,Dual Sim,Yes
770,8.0,5000,6.5,26899,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,64,32,Dual Sim,Yes
771,8.0,5000,6.5,22492,Samsung,256,25.0,1080 x 2400,Octa Core,Dimensity,50,13,Dual Sim,Yes
772,8.0,5000,6.5,23999,Samsung,256,25.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
773,8.0,5000,6.6,26499,Samsung,256,25.0,1080 x 2400,Octa Core,Dimensity,48,13,Dual Sim,Yes
774,8.0,4500,6.4,36880,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,10,Dual Sim,Yes
775,8.0,5000,6.6,36999,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,32,Dual Sim,Yes
776,8.0,4500,6.4,33779,Samsung,256,25.0,1080 x 2400,Octa Core,Snapdragon,12,32,Dual Sim,Yes
777,8.0,4000,6.1,36999,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,50,10,Dual Sim,Yes
778,8.0,4500,6.4,32883,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,12,32,Dual Sim,Yes
779,8.0,5000,6.4,33499,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,32,Dual Sim,Yes
780,8.0,4500,6.4,29999,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,12,32,Dual Sim,Yes
